mean,variance,std_dev,skewness,kurtosis,entropy,zero_crossings,band_0_power,band_0_relative_power,band_1_power,band_1_relative_power,band_2_power,band_2_relative_power,band_3_power,band_3_relative_power,band_4_power,band_4_relative_power,wavelet_0_mean,wavelet_0_variance,wavelet_1_mean,wavelet_1_variance,wavelet_2_mean,wavelet_2_variance,wavelet_3_mean,wavelet_3_variance,wavelet_4_mean,wavelet_4_variance
-121.77034,5354.1084,73.171776,-4.427057319322608,79.02808727229666,173738940.0,14737,554.5225,0.026942885,18.014914,0.0008753003,249.57452,0.012126212,4601.2944,0.22356558,2918.0068,0.14177878,-487.00745,6039.367,-0.3341307,9065.225,-0.04192463,5267.2715,14.126674,6312.6694,-10.701528,4133.3047
-121.20856,5493.4766,74.11799,-4.38571075998387,77.43409665899608,172980540.0,15067,576.3038,0.027515214,27.119392,0.0012947961,259.82504,0.012405162,4613.4346,0.22026515,2969.8042,0.14179118,-484.8214,6575.5977,-0.2308949,9159.78,-0.049453825,5264.8657,13.674147,6533.4067,-10.605957,4233.16
-121.1453,5512.7866,74.24814,-4.349986275252627,76.66651733645892,172918820.0,15087,598.46136,0.027986635,31.398428,0.0014683258,275.5318,0.012885055,4675.7285,0.21865723,2998.149,0.14020637,-484.49072,6692.283,-0.2494861,9249.47,0.0063026184,5263.1455,13.418506,6556.1724,-10.699408,4239.701
-120.01145,5658.9365,75.22591,-4.166672915731448,72.281280096692,171281010.0,15404,601.7018,0.027848992,47.153862,0.0021824557,285.31085,0.013205245,4681.9756,0.21669921,3014.2988,0.13951294,-480.10748,8081.2065,-0.07306963,9248.533,-0.02179782,5176.955,14.684719,6792.662,-10.951801,4232.638
-119.34744,5654.231,75.19462,-4.072132105605826,69.56768903494195,170274500.0,15361,585.2298,0.027134288,49.362534,0.002288703,280.8617,0.013022205,4705.7583,0.21818337,3027.3853,0.14036529,-477.34683,7976.3936,-0.13778837,9082.8955,-0.039053783,5097.886,14.701549,6931.5547,-10.870587,4211.4604
-119.28609,5653.8965,75.1924,-3.9833539660767796,68.1622929393215,170189860.0,15411,577.3246,0.026837932,49.5888,0.002305221,272.99048,0.012690434,4717.5312,0.2193026,3011.9424,0.14001535,-477.0847,7907.1772,-0.13053466,9051.215,-0.040231727,5098.4175,14.841703,6936.6646,-10.71647,4222.6333
-118.7743,5667.816,75.2849,-3.8724026595774883,66.20804193504517,169363400.0,15528,563.14667,0.026086476,50.435673,0.0023363165,274.0677,0.012695556,4743.917,0.21975105,2998.9617,0.13892001,-475.08405,7756.0737,-0.19965239,9121.202,-0.047484707,5045.9834,15.03803,6964.6187,-10.160486,4264.5566
-116.04599,5105.421,71.452225,-4.097327492515994,77.74523612536917,164387260.0,15757,543.29285,0.027837522,49.214417,0.002521674,268.3861,0.013751707,4321.575,0.22143112,2445.9387,0.12532628,-464.11618,6819.8115,-0.16818331,8233.764,-0.0322917,4214.8574,14.142256,6116.987,-7.815351,4060.1655
-113.60784,4498.6763,67.072174,-4.537873505801184,97.74127862590872,159835600.0,15739,512.9155,0.029630516,47.936287,0.002769222,267.07648,0.015428688,3850.0098,0.22241046,1862.1151,0.10757216,-454.41022,5560.1885,-0.21718283,7106.0317,-0.046235885,3742.3284,13.541362,5045.784,-6.0564604,3827.905
-4.2601867,473.07013,21.750175,0.0521698888177424,0.42280658045299147,4135263.0,73366,45.277447,0.030442856,8.649093,0.0058153253,3.5571945,0.0023917241,341.86563,0.22985762,135.7802,0.091293514,-17.0048,2227.0544,-0.014785532,730.3246,0.0009587181,355.00876,1.7382137,298.631,-2.4250813,331.20428
